,Overall rank,Country or region,Score,2018,Area,Item,Year,Unit,Value
0,6,Netherlands,7.441,23520.6,Netherlands,Average dietary energy supply adequacy (percent) (3-year average),2015-2017,%,126
1,6,Netherlands,7.441,23520.6,Netherlands,Average dietary energy supply adequacy (percent) (3-year average),2016-2018,%,127
2,6,Netherlands,7.441,23520.6,Netherlands,Average dietary energy supply adequacy (percent) (3-year average),2017-2019,%,128
3,6,Netherlands,7.441,23520.6,Netherlands,Average dietary energy supply adequacy (percent) (3-year average),2018-2020,%,129
4,6,Netherlands,7.441,23520.6,Netherlands,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2015-2017,I$ per person,542
5,6,Netherlands,7.441,23520.6,Netherlands,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2016-2018,I$ per person,273
6,6,Netherlands,7.441,23520.6,Netherlands,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),2015-2017,kcal/capita/day,3250
7,6,Netherlands,7.441,23520.6,Netherlands,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),2016-2018,kcal/capita/day,3269
8,6,Netherlands,7.441,23520.6,Netherlands,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),2017-2019,kcal/capita/day,3295
9,6,Netherlands,7.441,23520.6,Netherlands,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),2018-2020,kcal/capita/day,3311
10,6,Netherlands,7.441,23520.6,Netherlands,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2015-2017,%,27
11,6,Netherlands,7.441,23520.6,Netherlands,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2016-2018,%,27
12,6,Netherlands,7.441,23520.6,Netherlands,Average protein supply (g/cap/day) (3-year average),2015-2017,g/capita/day,105.3
13,6,Netherlands,7.441,23520.6,Netherlands,Average protein supply (g/cap/day) (3-year average),2016-2018,g/capita/day,105
14,6,Netherlands,7.441,23520.6,Netherlands,Average supply of protein of animal origin (g/cap/day) (3-year average),2015-2017,g/capita/day,69.3
